image-uri,image-id,product-set-id,product-id,product-category,product-display-name,labels,bounding-poly
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595054_sa.jpg,,products,4595054,general-v1,CyberPowerPC - Gamer Xtreme Desktop - Intel Pentium - 8GB Memory - 1TB Hard Drive - Black/Red,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595056_sa.jpg,,products,4595056,general-v1,CyberPowerPC - Gamer Xtreme Desktop - Intel Core i3 - 8GB Memory - 1TB Hard Drive - Black/Red,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595057_sa.jpg,,products,4595057,general-v1,The Legend of Heroes: Trails of Cold Steel - Lionheart Edition - PS Vita,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595093_sa.jpg,,products,4595093,general-v1,Funko - Star Wars: Episode VII Captain Phasma Pop! Vinyl Bobble Head Figure - Multi,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595100_sa.jpg,,products,4595100,general-v1,Funko - Star Wars Stormtrooper Pop! Vinyl Bobble Head Figure - Multi,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595102_sa.jpg,,products,4595102,general-v1,Funko - Star Wars: Episode VII Finn Pop! Vinyl Bobble Head Figure - Multi,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595107_sa.jpg,,products,4595107,general-v1,Funko - Star Wars: Episode VII Rey Pop! Vinyl Bobble Head Figure - Multi,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595111_sa.jpg,,products,4595111,general-v1,Funko - Star Wars: Episode VII Kylo Ren Pop! Vinyl Bobble Head Figure - Multi,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595112_sa.jpg,,products,4595112,general-v1,Funko - Star Wars: Episode VII Poe Dameron Pop! Vinyl Bobble Head Figure - Multi,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595113_sa.jpg,,products,4595113,general-v1,Funko - Star Wars Chewbacca Pop! Vinyl Bobble Head Figure - Multi,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595116_sa.jpg,,products,4595116,general-v1,"Samsung - Galaxy Tab E - 9.6"" - 16GB - Wi-Fi + 4G LTE Verizon Wireless - Black",,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595117_sa.jpg,,products,4595117,general-v1,TurboTax Basic Federal Return + Federal E-File 2015 - Windows|Mac,,
http://img.bbystatic.com/BestBuy_US/images/pac/products/1313/1313747200/1313747200_sa.jpg,,products,4595118,general-v1,"Samsung - Galaxy View - 18.4"" - 32GB - Black",,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595124_sa.jpg,,products,4595124,general-v1,Verizon Wireless Prepaid - LG Transpyre 4G with 8GB Memory No-Contract Cell Phone - Black,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595126_sa.jpg,,products,4595126,general-v1,TurboTax Deluxe Federal Return + Federal E-File 2015: Deductions & Homeowners - Windows|Mac,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595127_sa.jpg,,products,4595127,general-v1,TurboTax Deluxe Federal & State Returns + Federal E-File 2015: Deductions & Homeowners - Windows|Mac,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595130_sa.jpg,,products,4595130,general-v1,TurboTax Home & Business Federal & State Returns + Federal E-File 2015 - Windows|Mac,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595131_sa.jpg,,products,4595131,general-v1,TurboTax Premier Federal & State Returns + Federal E-File 2015: Investments and Rental Property - Windows|Mac,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595133_sa.jpg,,products,4595133,general-v1,Samurai Warriors 4-II - PRE-OWNED - PlayStation 4,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595134_sa.jpg,,products,4595134,general-v1,"Bowers & Wilkins - CWM Cinema 7 Dual 4"" 2.5-Way In-Wall Speaker System - Black/White",,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595135_sa.jpg,,products,4595135,general-v1,"Bowers & Wilkins - CCM Cinema 7 7"" 2-Way In-Ceiling Speaker (Each) - Black/White",,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595143_sa.jpg,,products,4595143,general-v1,Urban Armor Gear - Case for Apple® iPad® mini 4 - Black/Black,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595144_sa.jpg,,products,4595144,general-v1,Urban Armor Gear - Case for Apple® iPad® mini 4 - Cobalt/Black,,
